Estrado;;1,25;2,5;3,75;5;6,25;7,5;8,75;10;11,25;12,5;13,75;15;16,25;17,5;18,75;20;21,25;22,5;23,75;25;26,25;27,5;28,75;30;31,25;32,5;33,75;35;36,25;37,5;38,75;40
1,25;
;Pés;4;4;6;6;8;8;10;10;12;12;14;14;16;16;18;18;20;20;22;22;24;24;26;26;28;28;30;30;32;32;34;34
;Alumínios2,50;0;2;2;4;4;6;6;8;8;10;10;12;12;14;14;16;16;18;18;20;20;22;22;24;24;26;26;28;28;30;30;32
;Alumínios1,25;4;3;6;5;8;7;10;9;12;11;14;13;16;15;18;17;20;19;22;21;24;23;26;25;28;27;30;29;32;31;34;33
;Tábuas;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
2,5;
;Pés;4;4;6;6;8;8;10;10;12;12;14;14;16;16;18;18;20;20;22;22;24;24;26;26;28;28;30;30;32;32;34;34
;Alumínios2,50;2;5;6;9;10;13;14;17;18;21;22;25;26;29;30;33;34;37;38;41;42;45;46;49;50;53;54;57;58;61;62;65
;Alumínios1,25;3;2;5;4;7;6;9;8;11;10;13;12;15;14;17;16;19;18;21;20;23;22;25;24;27;26;29;28;31;30;33;32
;Tábuas;2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64
3,75
;Pés;6;6;9;9;12;12;15;15;18;18;21;21;24;24;27;27;30;30;33;33;36;36;39;39;42;42;45;45;48;48;51;51
;Alumínios2,50;2;6;7;11;12;16;17;21;22;26;27;31;34;36;37;41;42;46;47;51;52;56;57;61;62;66;67;71;71;76;77;81
;Alumínios1,25;6;5;10;9;14;13;18;17;22;21;26;25;30;29;34;33;38;37;42;41;46;45;50;49;54;53;58;57;62;61;66;65
;Tábuas;3;6;9;12;15;18;21;24;27;30;33;36;39;42;45;48;51;54;57;60;63;66;69;72;75;78;81;84;87;90;93;96
5
;Pés;6;6;9;9;12;12;15;15;18;18;21;21;24;24;27;27;30;30;33;33;36;36;39;39;42;42;45;45;48;48;51;51
